Unnamed: 0,split,topic,label,TEXT
4154,train,race,1,虽视频有炒作营销赚流量之嫌，但打死我也不愿意女儿和黑人接触，甭提嫁给黑人。
4252,train,gender,0,搞得我好想以后找个姓修的男朋友！
4907,train,race,1,xswl，抛开现实讲种族平等，你怕是活在乌托邦吧？我们大中国又何曾被平等对待过，跑这来谈种族平等。你有能耐就让黑人人均智商跟我们大中国子民人均一样高，艾滋率、犯罪率和我们大中国一样低，
1304,train,gender,0,你冲洗屁股的想法和智能马桶不谋而合，而且女生尿尿确实是向前（国产区自拍偷拍我什么都没说）
6481,train,region,0,现在的选调能自己挑地区考了？身边有个例子，前同事的独生女，南大毕业，考选调去了苏北某县，为了把她调回苏南，据这个前同事讲，费了一车茅台。
1730,train,region,1,那些所谓“台独”为了支持他们的“台湾不属于中国”的观点，连当年日本对台湾的侵略都可以拿出来洗地，被说成是合法的统治，这帮人简直坏透了，令人恶心。
1162,train,region,1,为什么一说地域黑就想到东北？
986,train,race,0,乳与卵是建立在日本父权社会上的女权审视 非常出色的作品 我觉得男女都应该读读 欠踹的背影的话 我个人对陈述成长纠葛的作品有着非常大的好感 这类作品帮我度过了很多青春期的迷茫
1128,train,gender,1,女人走进男厕所，还是男人变态啊
7686,train,race,1,黑人这种劣等人应该全部屠掉，要不圈养起来，为什么要放入国境？
5559,train,race,1,虽然我也讨厌黑人，但我承认自己是有种族歧视的。答主一番歪理强行说自己没有歧视[捂脸]
3938,train,gender,1,说白了还是不够好看，实在好看男人真的会站起来说话的
11078,train,race,0,印度人看了害怕，中国大街小巷都有打印
2479,train,gender,0,电影里本来就是少女期的国王啊，还没真正执权，叫国师国师妈妈的啊
7915,train,race,1,"波兰女性的荡妇羞辱,乌克兰人俄罗斯人的zz和作风羞辱,黑人的黑历史和素质羞辱,白垃圾的素质和智商羞辱,白人精英的虚伪和做作性格羞辱比比皆是,这些哪一个都不比外貌嘲笑好吧？"
1278,train,gender,1,都是法盲，国家能听他们的？买卖人口可恶，杀；强奸妇女可恶，杀；抢劫血汗钱可恶，杀；贪污误国伤民可恶，杀 以后别量刑了，犯罪了一律杀就对了。
